date,datetime,stockid,userid,artid,reply,likes
2021/08/10,2021/08/10 14:25,4976,8268674,129804583,4,11
2021/08/10,2021/08/10 14:12,4976,5399793,129802818,0,2
2021/08/10,2021/08/10 13:51,4976,6474447,129798758,8,2
2021/08/10,2021/08/10 13:50,4976,3850113,129798642,3,2
2021/08/10,2021/08/10 13:40,4976,5310367,129796592,0,1
2021/08/10,2021/08/10 13:23,4976,7162949,129793708,4,3
2021/08/10,2021/08/10 12:57,4976,4927929,129789872,3,13
2021/08/10,2021/08/10 12:44,4976,1385551,129787898,4,4
2021/08/10,2021/08/10 12:12,4976,8643207,129783210,27,5
2021/08/10,2021/08/10 12:03,4976,8742901,129781941,1,8
2021/08/10,2021/08/10 11:48,4976,5165210,129779399,7,11
2021/08/10,2021/08/10 11:23,4976,10888370,129775452,1,11
2021/08/10,2021/08/10 10:48,4976,8742901,129769657,10,6
2021/08/10,2021/08/10 10:34,4976,4792161,129767158,0,25
2021/08/10,2021/08/10 10:27,4976,7162949,129766029,1,15
2021/08/10,2021/08/10 10:21,4976,4254459,129764911,3,8
2021/08/10,2021/08/10 10:02,4976,7162949,129761327,0,3
2021/08/10,2021/08/10 09:57,4976,461045,129759969,4,26
2021/08/10,2021/08/10 09:54,4976,6474447,129759506,0,4
2021/08/10,2021/08/10 09:47,4976,1571400,129758098,0,4
2021/08/10,2021/08/10 09:37,4976,1571400,129756226,2,6
2021/08/10,2021/08/10 09:32,4976,4678855,129755112,4,6
2021/08/10,2021/08/10 09:22,4976,5010555,129752988,0,5
2021/08/10,2021/08/10 09:21,4976,10398927,129752951,0,8
2021/08/10,2021/08/10 09:21,4976,3894406,129752927,0,8
2021/08/10,2021/08/10 09:19,4976,5074300,129752632,0,11
2021/08/10,2021/08/10 09:19,4976,9699251,129752489,2,5
2021/08/10,2021/08/10 08:06,4976,9727708,129743886,0,1
2021/08/10,2021/08/10 08:01,4976,1200505,129743644,0,4
2021/08/10,2021/08/10 07:25,4976,5773144,129741191,2,2
2021/08/10,2021/08/10 06:51,4976,4003561,129739788,6,27
2021/08/09,2021/08/09 22:44,4976,9395156,129723840,2,12
2021/08/09,2021/08/09 22:38,4976,9833557,129723320,2,30
2021/08/09,2021/08/09 20:53,4976,1173353,129712177,7,15
2021/08/09,2021/08/09 18:52,4976,6918216,129697225,0,6
2021/08/09,2021/08/09 18:47,4976,1508419,129696723,0,4
2021/08/09,2021/08/09 16:59,4976,819484,129684370,5,12
2021/08/07,2021/08/07 13:06,4976,8756719,129508870,5,3
2021/07/31,2021/07/31 08:23,4976,8756719,128751771,0,8
2021/07/28,2021/07/28 17:31,4976,8756719,128444194,5,17
2021/07/26,2021/07/26 17:41,4976,8756719,128155779,2,14
2021/07/24,2021/07/24 09:43,4976,8756719,127959990,6,19
2021/07/18,2021/07/18 21:43,4976,8756719,127167019,0,5
2021/07/16,2021/07/16 17:46,4976,8756719,127011782,0,15
2021/07/15,2021/07/15 09:01,4976,11833323,126759684,1,16
2021/07/13,2021/07/13 08:57,4976,11833323,126416627,2,31
2021/07/13,2021/07/13 00:44,4976,8447519,126400025,9,10
2021/07/12,2021/07/12 09:01,4976,5859916,126257649,0,5
2021/06/20,2021/06/20 10:23,4976,8953105,123694990,6,24
2021/05/27,2021/05/27 11:52,4976,435789,121139530,1,5
2021/05/27,2021/05/27 11:51,4976,435789,121139417,1,5
2021/05/27,2021/05/27 11:32,4976,435789,121137067,3,6
2021/05/27,2021/05/27 10:35,4976,435789,121129573,4,8
2021/05/26,2021/05/26 22:36,4976,435789,121092393,2,4
2021/05/04,2021/05/04 12:37,4976,435789,118512450,0,5
2021/04/21,2021/04/21 23:48,4976,8953105,117030933,2,5
2021/04/10,2021/04/10 21:29,4976,8953105,115503869,0,7
2021/03/11,2021/03/11 11:41,4976,6541933,112009139,0,13
2021/03/11,2021/03/11 11:01,4976,5068547,112002903,5,15
2021/03/11,2021/03/11 10:57,4976,3910900,112002373,2,10
2021/03/11,2021/03/11 10:53,4976,4503750,112001712,0,7
2021/03/11,2021/03/11 10:49,4976,6671333,112001033,2,50
2021/03/11,2021/03/11 10:47,4976,6015042,112000865,5,15
2021/03/11,2021/03/11 10:47,4976,348328,112000857,50,824
2021/03/11,2021/03/11 10:44,4976,8831413,112000280,0,1
2021/03/11,2021/03/11 10:44,4976,8011009,112000265,0,2
2021/03/11,2021/03/11 10:42,4976,5008068,112000045,1,8
2021/03/11,2021/03/11 10:42,4976,5602919,112000001,0,2
2021/03/11,2021/03/11 10:42,4976,5534949,111999946,0,7
2021/03/11,2021/03/11 10:42,4976,6716353,111999866,0,2
2021/03/11,2021/03/11 10:41,4976,5602919,111999831,0,1
2021/03/11,2021/03/11 10:40,4976,8694449,111999562,1,2
2021/03/11,2021/03/11 10:36,4976,5289216,111998916,6,33
2021/03/11,2021/03/11 10:36,4976,5290960,111998890,0,2
2021/03/11,2021/03/11 10:31,4976,3688761,111998237,0,1
2021/03/11,2021/03/11 10:29,4976,2257894,111997775,0,4
2021/03/11,2021/03/11 10:26,4976,7831867,111997172,0,4
2021/03/11,2021/03/11 10:24,4976,3688761,111996815,1,3
2021/03/11,2021/03/11 10:16,4976,3688761,111995654,1,4
2021/03/11,2021/03/11 10:12,4976,4599751,111995119,0,1
2021/03/11,2021/03/11 10:09,4976,7151279,111994784,0,8
2021/03/11,2021/03/11 10:09,4976,4599751,111994684,0,4
2021/03/11,2021/03/11 09:58,4976,4804403,111992798,0,0
2021/03/11,2021/03/11 09:54,4976,1752131,111992182,0,0
2021/03/11,2021/03/11 09:46,4976,5403854,111990973,5,1
2021/03/11,2021/03/11 09:44,4976,3688761,111990543,0,0
2021/03/11,2021/03/11 09:34,4976,1643055,111988983,0,2
2021/03/11,2021/03/11 09:31,4976,3688761,111988462,0,2
2021/03/11,2021/03/11 09:19,4976,5403854,111986566,0,4
2021/03/11,2021/03/11 09:10,4976,7151279,111985198,0,5
2021/03/11,2021/03/11 09:10,4976,3688761,111985192,2,2
2021/03/11,2021/03/11 06:27,4976,4804403,111974996,1,6
2021/03/10,2021/03/10 19:26,4976,6547495,111941391,7,25
