date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,datetime,stockid,userid,artid,reply,likes
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 11:14,6104.0,5795010.0,130683272.0,0.0,5.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 11:13,6104.0,662117.0,130683149.0,9.0,81.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 11:00,6104.0,5795010.0,130680932.0,2.0,3.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 10:48,6104.0,1452001.0,130679026.0,4.0,15.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 10:46,6104.0,929581.0,130678644.0,2.0,2.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 10:44,6104.0,8104141.0,130678333.0,0.0,1.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 10:42,6104.0,418474.0,130677999.0,3.0,5.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 10:22,6104.0,418474.0,130674741.0,0.0,0.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 10:09,6104.0,7565040.0,130672473.0,4.0,1.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 10:07,6104.0,5284270.0,130672133.0,9.0,7.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 09:34,6104.0,5284270.0,130666508.0,2.0,5.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 09:17,6104.0,7565040.0,130664147.0,1.0,3.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 08:35,6104.0,662117.0,130658556.0,19.0,73.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 19:57,6104.0,2290844.0,130874552.0,2.0,5.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 19:05,6104.0,166719.0,130868511.0,11.0,8.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 18:40,6104.0,4562850.0,130866360.0,3.0,1.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 18:04,6104.0,6904559.0,130863346.0,0.0,26.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 18:02,6104.0,6904559.0,130863205.0,2.0,5.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 17:25,6104.0,1034375.0,130859672.0,3.0,12.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 17:21,6104.0,5613090.0,130859176.0,0.0,3.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 17:18,6104.0,6626638.0,130858831.0,11.0,33.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 15:38,6104.0,5701554.0,130844297.0,5.0,4.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 15:35,6104.0,1164100.0,130844013.0,2.0,5.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 15:26,6104.0,5701554.0,130843196.0,1.0,2.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 15:24,6104.0,7860915.0,130843101.0,5.0,15.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 15:09,6104.0,5503435.0,130841350.0,17.0,16.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 15:05,6104.0,3729073.0,130840914.0,4.0,66.0
2021-08-19,6104,34746000,3755312000,107.5,112.5,101.5,101.5,-5.0,21059,2021/08/19 14:58,6104.0,4103494.0,130840141.0,7.0,5.0
