date,stock_id,deal_price,volume,Time,TickType
2021-01-22,2603,32.15,1,09:00:15.662,2
2021-01-22,2603,32.2,5,09:00:15.671,1
2021-01-22,2603,32.15,5,09:00:15.765,2
2021-01-22,2603,32.2,3,09:00:15.798,1
2021-01-22,2603,32.2,1,09:00:15.859,1
2021-01-22,2603,32.15,10,09:00:16.036,2
2021-01-22,2603,32.2,2,09:00:16.169,1
2021-01-22,2603,32.15,2,09:00:16.365,2
2021-01-22,2603,32.15,2,09:00:16.370,2
2021-01-22,2603,32.15,2,09:00:16.384,2
2021-01-22,2603,32.15,2,09:00:16.478,2
2021-01-22,2603,32.15,5,09:00:16.652,2
2021-01-22,2603,32.2,1,09:00:16.827,1
2021-01-22,2603,32.2,8,09:00:17.011,1
2021-01-22,2603,32.2,1,09:00:17.061,1
2021-01-22,2603,32.2,8,09:00:17.112,0
2021-01-22,2603,32.15,1,09:00:17.333,2
2021-01-22,2603,32.2,2,09:00:17.545,1
2021-01-22,2603,32.2,10,09:00:17.619,1
2021-01-22,2603,32.15,10,09:00:17.630,2
2021-01-22,2603,32.15,1,09:00:17.767,2
2021-01-22,2603,32.2,20,09:00:17.774,1
2021-01-22,2603,32.2,1,09:00:17.896,1
2021-01-22,2603,32.15,1,09:00:18.062,2
2021-01-22,2603,32.2,5,09:00:18.152,1
2021-01-22,2603,32.2,2,09:00:18.353,1
2021-01-22,2603,32.2,1,09:00:18.400,1
2021-01-22,2603,32.15,3,09:00:18.467,2
2021-01-22,2603,32.2,1,09:00:18.494,1
2021-01-22,2603,32.2,2,09:00:18.515,2
2021-01-22,2603,32.2,2,09:00:18.658,0
2021-01-22,2603,32.15,10,09:00:18.682,2
2021-01-22,2603,32.15,1,09:00:18.714,2
2021-01-22,2603,32.15,1,09:00:18.977,2
2021-01-22,2603,32.2,10,09:00:19.001,1
2021-01-22,2603,32.15,1,09:00:19.162,2
2021-01-22,2603,32.15,10,09:00:19.179,2
2021-01-22,2603,32.2,5,09:00:19.705,1
2021-01-22,2603,32.2,4,09:00:19.720,1
2021-01-22,2603,32.15,1,09:00:19.907,2
2021-01-22,2603,32.15,5,09:00:20.275,2
2021-01-22,2603,32.2,1,09:00:20.315,1
2021-01-22,2603,32.2,17,09:00:20.493,1
2021-01-22,2603,32.2,1,09:00:20.574,1
2021-01-22,2603,32.2,2,09:00:20.835,1
2021-01-22,2603,32.15,1,09:00:20.849,2
2021-01-22,2603,32.2,5,09:00:21.241,1
2021-01-22,2603,32.2,2,09:00:21.328,2
2021-01-22,2603,32.2,2,09:00:21.403,0
2021-01-22,2603,32.2,1,09:00:21.534,1
2021-01-22,2603,32.2,1,09:00:21.587,1
2021-01-22,2603,32.2,4,09:00:21.610,0
2021-01-22,2603,32.15,10,09:00:21.755,2
2021-01-22,2603,32.2,1,09:00:21.843,1
2021-01-22,2603,32.2,1,09:00:21.902,1
2021-01-22,2603,32.2,1,09:00:21.945,1
2021-01-22,2603,32.2,5,09:00:22.131,1
2021-01-22,2603,32.2,5,09:00:22.239,0
2021-01-22,2603,32.25,1,09:00:22.241,1
2021-01-22,2603,32.15,2,09:00:22.246,2
2021-01-22,2603,32.2,2,09:00:22.303,1
2021-01-22,2603,32.2,10,09:00:22.571,1
2021-01-22,2603,32.2,5,09:00:22.612,1
2021-01-22,2603,32.2,2,09:00:22.712,1
2021-01-22,2603,32.2,16,09:00:22.774,1
2021-01-22,2603,32.2,1,09:00:22.917,1
2021-01-22,2603,32.15,1,09:00:23.078,2
2021-01-22,2603,32.2,5,09:00:23.156,1
2021-01-22,2603,32.2,1,09:00:23.374,1
2021-01-22,2603,32.15,1,09:00:23.421,2
2021-01-22,2603,32.15,10,09:00:23.612,2
2021-01-22,2603,32.2,13,09:00:23.699,1
